"url,label"
"https://google.com,Legitimate"
"https://github.com,Legitimate"
"https://microsoft.com,Legitimate"
"https://apple.com,Legitimate"
"https://amazon.com,Legitimate"
"https://linkedin.com,Legitimate"
"https://facebook.com,Legitimate"
"https://instagram.com,Legitimate"
"https://youtube.com,Legitimate"
"https://wikipedia.org,Legitimate"
"http://secure-login-update.xyz,Phishing"
"http://verify-account-security.com,Phishing"
"http://paypal-security-check.xyz,Phishing"
"http://bank-account-verification.xyz,Phishing"
"http://free-gift-card-winner.xyz,Phishing"
"http://update-password-now.com,Phishing"
"http://login-confirmation-required.xyz,Phishing"
"http://account-security-alert.xyz,Phishing"
"http://payment-verification-service.xyz,Phishing"
"http://credential-check-login.xyz,Phishing"
