url,label
https://google.com,Legitimate
https://github.com,Legitimate
https://microsoft.com,Legitimate
https://apple.com,Legitimate
https://amazon.com,Legitimate
https://linkedin.com,Legitimate
https://facebook.com,Legitimate
https://instagram.com,Legitimate
https://youtube.com,Legitimate
https://wikipedia.org,Legitimate
https://python.org,Legitimate
https://stackoverflow.com,Legitimate
http://secure-login-update.xyz,Phishing
http://verify-account-security.com,Phishing
http://paypal-security-check.xyz,Phishing
http://bank-login-confirm.xyz,Phishing
http://account-verification-required.com,Phishing
http://free-gift-card-winner.xyz,Phishing
http://update-password-now.xyz,Phishing
http://login-security-alert.com,Phishing
http://payment-verification-service.xyz,Phishing
http://credential-confirmation.xyz,Phishing
http://fake-bank-support.xyz,Phishing
http://user-account-verify.xyz,Phishing
